"","Country","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","Latest Year","CO2.emissions..latest.year","X..change.since.1990","CO2.emissions..per.capita...latest.year"
"2","Afghanistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3222.2,NA,NA,NA,NA,NA,NA,NA,9851,NA,NA,NA,NA,NA,2013,9851,NA,0.31
"3","Albania",3101.66,5166.7,3311.06,3235.47,3500.49,3477.42,3341.56,3426.64,4139.06,4478.33,3507.9,4224.1,4283.95,4614.75,4939.11,4953.33,4944.38,5395.06,5530.3,5942.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,5942.57,91.59,2
"4","Algeria",NA,NA,NA,NA,63705,NA,NA,NA,NA,NA,71593.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,71593.26,NA,2.31
"5","Angola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16317,NA,NA,NA,NA,27809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005,27809,NA,1.43
"6","Antigua and Barbuda",288.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,371.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,371.88,29.06,4.89
"7","Argentina",100867.5,NA,NA,NA,117595.97,NA,NA,125563.93,NA,NA,128323.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,181939.49,NA,188265.15,NA,NA,NA,NA,NA,NA,2012,188265.15,86.65,4.51
"8","Armenia",21615.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,3199.57,NA,NA,NA,NA,NA,4173.95,NA,NA,NA,4456.99,NA,NA,NA,NA,NA,NA,NA,NA,2010,4456.99,-79.38,1.55
"9","Australia",278424.66,279872.66,284912.44,289235.19,294014.96,305410.17,312361.59,320795.09,334684.52,344063.77,350195.02,357669.18,362209.55,369726.02,383205.12,386513.45,392680.65,399842.46,404417.41,407463.33,405502.8,404172.76,406506.24,397943.18,394116.89,401554.76,411031.53,415097.43,415953.95,2018,415953.95,49.4,16.71
"10","Austria",62124.7,65725.53,60204.07,60635.42,61002.44,64065.26,67421.59,67232.78,66875.15,65562.72,66162.89,70102.6,71918.76,77554.25,77674.39,79192.43,76898.33,74262.59,73588.4,67493.95,72011.84,69898.24,67209.1,67745.69,64084.43,66283.24,67112.27,69628.86,66719.68,2018,66719.68,7.4,7.5
"11","Azerbaijan",55893.73,51901.46,44546.68,39136.42,34272.68,36561.35,29965.84,28935.02,28567.01,27869.25,29010.24,28243.15,28031.43,30733.16,33010.79,35472.53,34310.57,29284.63,32283.34,26893.1,26411.83,28083.87,29847.75,39228.89,NA,NA,NA,NA,NA,2013,39228.89,-29.82,4.18
