"","percapita","gdp2020"
"1",0.31,516.7478708
"2",1.43,1631.431691
"3",2,5332.160475
"4",20.5,36284.55524
"5",4.51,8585.694742
"6",1.55,4266.018074
"7",4.89,13992.74448
"8",16.71,51680.31652
"9",7.5,48588.65938
"10",4.18,4229.910649
"11",0.02,233.8375103
"12",8.73,45189.3669
"13",0.21,1291.040972
"14",0.11,857.9327297
"15",0.29,2270.347535
"16",6.18,10079.20338
"17",27.34,20406.50233
"18",6.24,6082.36673
"19",6.55,6555.426818
"20",0.02,3987.796596
"21",1.08,3137.989617
"22",2.47,6814.875632
"23",8.2,16318.74811
"24",15.14,27442.95383
"25",0.84,3000.777986
"26",3.51,6348.832318
"27",0.06,481.7462966
"28",15.82,43258.26387
"29",4.33,87100.41482
"30",4.8,13220.57076
"31",7.34,10408.66976
"32",0.19,1537.130218
"33",1.52,5312.198556
"34",0.15,1407.40927
"35",0.67,3064.272388
"36",1.4,12201.92603
"37",2.22,9477.852873
"38",6.17,27681.56641
"39",9.09,46252.6893
"40",0.48,3219.701128
"41",2.19,7003.859021
"42",6.3,61063.31643
"43",1.3,7268.19691
"44",2.31,3306.858208
"45",2.66,5627.77228
"46",5.78,27056.42175
"47",13.39,23054.35849
"48",0.11,936.4507576
"49",8.3,49160.83715
"50",1.92,5102.843929
"51",5.21,39037.12263
"52",4.2,6881.714225
"53",5.67,41098.07865
"54",2.34,4255.742993
"55",0.35,2254.153889
"56",0.24,1078.950006
"57",1.61,727.5201717
"58",6.82,17647.23269
"59",1.36,9273.199292
"60",6.3,54570.37502
"61",0.96,4603.339643
"62",2.22,6955.939217
"63",1.09,2405.732848
"64",4.26,14132.48656
"65",0.17,1272.367992
"66",5.11,16075.97327
"67",1.37,3870.55762
"68",1.28,1933.101069
"69",8.05,85422.54287
"70",5.58,2756.749977
"71",2.82,4583.747494
"72",10.91,59264.03409
"73",7.73,44177.57122
"74",5.74,31834.97262
"75",2.6,4664.530242
"76",3.86,4282.765825
"77",8.93,39918.16756
"78",17.45,9121.637138
"79",0.33,1872.124026
"80",0.17,1547.511388
"81",0.65,1514.591059
"82",21.21,24811.76971
"83",3.91,3801.792743
"84",1.25,601.0630058
"85",0.58,3694.040948
"86",0.4,1050.631634
"87",4.88,20232.30204
"88",15.84,116356.158
"89",4.08,17703.95344
"90",1.93,173688.1894
"91",2.04,4525.759654
"92",0.1,477.6130414
"93",3.25,6924.105745
"94",3.94,8431.665017
"95",2.22,4129.850998
"96",4.32,5846.465899
"97",0.18,862.453012
"98",3.49,28946.46268
"99",0.17,1450.662673
"100",4.3,7694.633759
"101",3.89,4060.950518
"102",0.11,448.8438914
"103",0.43,1702.486959
"104",3.39,8632.752859
"105",0.07,636.2863096
"106",7.18,10412.34767
"107",1.12,4157.019506
"108",0.12,567.6698923
"109",0.96,2097.092473
"110",0.76,1900.043594
"111",9.39,52396.03221
"112",8.21,67329.67779
"113",0.12,1147.471971
"114",3.76,10580.26819
"115",7.4,41596.5055
"116",5.21,14485.38612
"117",1.71,12509.83529
"118",1.63,6117.493571
"119",1.06,3301.218603
"120",16.77,14243.86469
"121",0.75,2757.011019
"122",8.91,15742.45373
"123",5.02,22194.56611
"124",0.88,4967.687212
"125",47.28,50124.38594
"126",3.94,12956.56625
"127",0.06,786.3018148
"128",17.11,20203.66888
"129",0.23,615.4620972
"130",0.46,1462.808169
"131",8.71,60729.45035
"132",0.46,2250.601164
"133",0.02,509.376594
"134",1,3798.636521
"135",8.42,45515.7577
"136",5.22,7730.691746
"137",0.58,2157.840446
"138",5.06,4916.605666
"139",6.97,25489.50023
"140",4.19,52300.2062
"141",0.96,3434.721798
"142",3.22,12193.88687
"143",0.43,652.3492096
"144",0.34,914.9507925
"145",3.55,7158.766684
"146",0.25,852.8309878
"147",0.24,1442.730738
"148",1.11,4624.823449
"149",12.27,15285.94049
"150",2.33,3597.218525
"151",1.02,4668.818743
"152",0.11,1076.469727
"153",0.06,822.0276815
"154",5.24,3751.740723
"155",1.9,15418.81531
"156",16.58,63027.67953
"157",3.58,1749.655815
"158",1.73,3526.274579
"159",0.38,2919.8368
"160",0.61,4068.078865
"161",7.79,5655.867654
"162",0.16,985.132436
"163",0.9,1214.50982
